date,state,industry,unemployed_thousands
1994Q2,Victoria,Education and Training,3.7829327900000003
1994Q2,Victoria,Health Care and Social Assistance,4.3153831600000006
1994Q2,Victoria,Manufacturing,25.553410999999997
1994Q2,Victoria,"Professional, Scientific and Technical Services",4.28999581
1994Q3,New South Wales,Accommodation and Food Services,11.00015685
1994Q3,New South Wales,Construction,13.2238954
1994Q3,New South Wales,Education and Training,2.1487457500000002
1994Q3,New South Wales,Health Care and Social Assistance,2.85238294
1994Q3,New South Wales,Manufacturing,25.34451507
1994Q3,New South Wales,"Professional, Scientific and Technical Services",2.40291889
1994Q3,Queensland,Accommodation and Food Services,8.9996362
1994Q3,Queensland,Construction,9.23478345
1994Q3,Queensland,Education and Training,3.19915364
1994Q3,Queensland,Health Care and Social Assistance,3.735866
1994Q3,Queensland,Manufacturing,12.73731669
1994Q3,Queensland,"Professional, Scientific and Technical Services",1.3493864299999998
1994Q3,Victoria,Accommodation and Food Services,10.15219158
1994Q3,Victoria,Construction,7.02447965
1994Q3,Victoria,Education and Training,5.1237129900000005
1994Q3,Victoria,Health Care and Social Assistance,5.43041672
1994Q3,Victoria,Manufacturing,22.96520423
1994Q3,Victoria,"Professional, Scientific and Technical Services",2.4307088
1994Q4,New South Wales,Accommodation and Food Services,10.20613997
1994Q4,New South Wales,Construction,18.53219449
1994Q4,New South Wales,Education and Training,2.4408801
1994Q4,New South Wales,Health Care and Social Assistance,5.76505375
1994Q4,New South Wales,Manufacturing,23.001829819999998
1994Q4,New South Wales,"Professional, Scientific and Technical Services",2.64832978
1994Q4,Queensland,Accommodation and Food Services,8.18456676
1994Q4,Queensland,Construction,11.15395599
1994Q4,Queensland,Education and Training,0.75349949
1994Q4,Queensland,Health Care and Social Assistance,2.9941488
1994Q4,Queensland,Manufacturing,9.434804119999999
1994Q4,Queensland,"Professional, Scientific and Technical Services",2.32763906
1994Q4,Victoria,Accommodation and Food Services,9.89289081
1994Q4,Victoria,Construction,8.148495350000001
1994Q4,Victoria,Education and Training,4.13191041
1994Q4,Victoria,Health Care and Social Assistance,3.2436799800000005
1994Q4,Victoria,Manufacturing,22.955669399999998
1994Q4,Victoria,"Professional, Scientific and Technical Services",1.89064043
1995Q1,New South Wales,Accommodation and Food Services,13.29155545
1995Q1,New South Wales,Construction,13.44383112
1995Q1,New South Wales,Education and Training,3.1202773500000003
1995Q1,New South Wales,Health Care and Social Assistance,6.5128449999999996
1995Q1,New South Wales,Manufacturing,25.12376507
1995Q1,New South Wales,"Professional, Scientific and Technical Services",2.62605644
1995Q1,Queensland,Accommodation and Food Services,10.66026617
1995Q1,Queensland,Construction,9.88296145
1995Q1,Queensland,Education and Training,2.83814983
1995Q1,Queensland,Health Care and Social Assistance,3.8119258599999997
1995Q1,Queensland,Manufacturing,11.948909769999998
1995Q1,Queensland,"Professional, Scientific and Technical Services",3.0962006
1995Q1,Victoria,Accommodation and Food Services,9.83873497
1995Q1,Victoria,Construction,6.565954049999999
1995Q1,Victoria,Education and Training,4.57002397
1995Q1,Victoria,Health Care and Social Assistance,4.56198585
1995Q1,Victoria,Manufacturing,23.70173311
1995Q1,Victoria,"Professional, Scientific and Technical Services",3.64982666
1995Q2,New South Wales,Accommodation and Food Services,8.91714395
1995Q2,New South Wales,Construction,13.22878254
1995Q2,New South Wales,Education and Training,3.64690179
1995Q2,New South Wales,Health Care and Social Assistance,6.03818096
1995Q2,New South Wales,Manufacturing,17.2255006
1995Q2,New South Wales,"Professional, Scientific and Technical Services",3.18008669
1995Q2,Queensland,Accommodation and Food Services,9.74915388
1995Q2,Queensland,Construction,13.76261375
1995Q2,Queensland,Education and Training,2.9064343800000003
1995Q2,Queensland,Health Care and Social Assistance,3.5174513
1995Q2,Queensland,Manufacturing,12.29196182
1995Q2,Queensland,"Professional, Scientific and Technical Services",1.62769085
1995Q2,Victoria,Accommodation and Food Services,9.46600289
1995Q2,Victoria,Construction,7.18060462
1995Q2,Victoria,Education and Training,3.22017606
1995Q2,Victoria,Health Care and Social Assistance,4.53400679
1995Q2,Victoria,Manufacturing,22.14229163
1995Q2,Victoria,"Professional, Scientific and Technical Services",5.01030747
1995Q3,New South Wales,Accommodation and Food Services,11.64557293
1995Q3,New South Wales,Construction,15.81847091
1995Q3,New South Wales,Education and Training,3.62615565
1995Q3,New South Wales,Health Care and Social Assistance,5.17588374
1995Q3,New South Wales,Manufacturing,19.193101979999998
1995Q3,New South Wales,"Professional, Scientific and Technical Services",2.63499142
1995Q3,Queensland,Accommodation and Food Services,7.7609132800000005
1995Q3,Queensland,Construction,14.42553545
1995Q3,Queensland,Education and Training,2.71585287
1995Q3,Queensland,Health Care and Social Assistance,3.35868945
1995Q3,Queensland,Manufacturing,13.080604560000001
1995Q3,Queensland,"Professional, Scientific and Technical Services",1.58290003
1995Q3,Victoria,Accommodation and Food Services,6.87757078
1995Q3,Victoria,Construction,10.468385280000001
1995Q3,Victoria,Education and Training,3.06373366
1995Q3,Victoria,Health Care and Social Assistance,3.35777245
