date,state,industry,employed_thousands
2005Q4,Queensland,"Professional, Scientific and Technical Services",116.75683833
2005Q4,Victoria,Accommodation and Food Services,122.7407433
2005Q4,Victoria,Construction,205.10150116
2005Q4,Victoria,Education and Training,178.33435283999998
2005Q4,Victoria,Health Care and Social Assistance,256.89831204
2005Q4,Victoria,Manufacturing,323.19108654
2005Q4,Victoria,"Professional, Scientific and Technical Services",193.07687459000002
2006Q1,New South Wales,Accommodation and Food Services,160.76328495
2006Q1,New South Wales,Construction,266.9925604
2006Q1,New South Wales,Education and Training,242.02007662
2006Q1,New South Wales,Health Care and Social Assistance,333.79319212
2006Q1,New South Wales,Manufacturing,300.65775365
2006Q1,New South Wales,"Professional, Scientific and Technical Services",262.79107683
2006Q1,Queensland,Accommodation and Food Services,108.86546532999999
2006Q1,Queensland,Construction,201.39970862
2006Q1,Queensland,Education and Training,150.47654458
2006Q1,Queensland,Health Care and Social Assistance,190.4760767
2006Q1,Queensland,Manufacturing,180.4928713
2006Q1,Queensland,"Professional, Scientific and Technical Services",118.82549386
2006Q1,Victoria,Accommodation and Food Services,110.40116237
2006Q1,Victoria,Construction,211.81231693
2006Q1,Victoria,Education and Training,179.99175312
2006Q1,Victoria,Health Care and Social Assistance,269.06581717
2006Q1,Victoria,Manufacturing,329.0465456
2006Q1,Victoria,"Professional, Scientific and Technical Services",189.02543355
2006Q2,New South Wales,Accommodation and Food Services,163.69096631
2006Q2,New South Wales,Construction,271.56950106
2006Q2,New South Wales,Education and Training,236.30210921999998
2006Q2,New South Wales,Health Care and Social Assistance,338.16925488
2006Q2,New South Wales,Manufacturing,286.40594464
2006Q2,New South Wales,"Professional, Scientific and Technical Services",258.23421368
2006Q2,Queensland,Accommodation and Food Services,108.90538998
2006Q2,Queensland,Construction,197.83029266
2006Q2,Queensland,Education and Training,150.13512311
2006Q2,Queensland,Health Care and Social Assistance,199.15279759
2006Q2,Queensland,Manufacturing,188.98475356
2006Q2,Queensland,"Professional, Scientific and Technical Services",128.14858031
